rank,agent,mu,sigma,score
1510,1,td3_bank_pref_rollout_3_mirroring_10M_177k,38.199529,1.650992,33.246553
1510,2,tdmpc2_action_hints_4_3M,33.595863,1.565987,28.897902
1510,3,td3_self_play_rollout_5_mirroring_15M_157k,33.558956,1.584106,28.806639
1510,4,td3_bank_pref_rollout_3_mirroring_10M_163k,33.266519,1.551577,28.611789
1510,5,td3_one_v_all_rollout_3_mirroring_15M_s699_219k,31.641078,1.557497,26.968587
1510,6,tdmpc2_action_hints_reuse_elites_3M,31.018462,1.558827,26.341982
1510,7,td3_one_v_all_rollout_3_mirroring_15M_s799_222k,30.721830,1.544488,26.088365
1510,8,td3_bank_pref_rollout_3_mirroring_10M_136k,30.389057,1.540978,25.766122
1510,9,tdmpc2_baseline_4_1M,30.212938,1.544370,25.579828
1510,10,tdmpc2_action_hints_10M_more_right_possesssion_8_5M,29.919960,1.556552,25.250304
1510,11,td3_sparse_self_play_rollout_3_mirroring_20M_277k,28.398463,1.535051,23.793310
1510,12,tdmpc2_action_hints_droupout_0_01_3M,28.451923,1.553904,23.790211
1510,13,td3_sparse_self_play_rollout_3_mirroring_20M_342k,26.932897,1.531897,22.337205
1510,14,agent-sac-v4-pink-6-step-per-env-defence,26.506497,1.549950,21.856648
1510,15,agent-sac-big-league,26.232739,1.544499,21.599241
1510,16,agent-sac-v4-pink-4-step-per-league-env-defence,25.950790,1.553942,21.288963
1510,17,td3_one_v_all_rollout_3_mirroring_15M_s799_303k,25.583023,1.549600,20.934224
1510,18,agent-sac-v4-pink-4-step-per-league-env-reset,23.722483,1.574050,19.000334
1510,19,SAC_last_year,23.128451,1.536925,18.517676
1510,20,agent-sac-v4-pink-6-step-per-env-defence2,23.129432,1.573495,18.408948
1510,21,agent-sac-v4-pink-4-step-per,17.935700,1.656334,12.966698
1510,22,td3_defense,17.411117,1.697062,12.319932
1510,23,StrongBot,3.940514,2.181752,-2.604741
1510,24,agent-sac-v4-pink-replay,3.459993,2.066245,-2.738741
1510,25,WeakBot,0.663069,2.207193,-5.958511
